Biometric_PAX_Scanned,Successful_Biometric_Flight_Indicator,Eligible_Biometric_DEP_PAX_Indicator,Eligible_Biometric_Flight_Indicator,DOM_INTL_Indicator,new_start_date_date_format,Total_DEP_Pax,Gate_Ref,host_carrier_code,flight_number,scheduled_departure_station_code,departure_station_code,scheduled_arrival_station_code,scheduled_departure_date_local,scheduled_departure_time_local,actual_departure_date_local,departure_gate,completed_flight_indicator,new_Gate_Ref,new_Start_Date,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_achievable_BCR,Flight_Saturation
240,1,257,1,INTL,2021-01-02,257,SFOG6,UA,863,SFO,SFO,SYD,2023-04-03,22:45,2023-04-03,G6,1,SFOG6,2021-01-02,0.93385214,1.0,1.0,0.93385214,1.0,1.0
139,1,158,1,INTL,2021-01-02,158,SFOG5,UA,954,SFO,SFO,TLV,2023-04-06,19:50,2023-04-06,G5,1,SFOG5,2021-01-02,0.87974684,1.0,1.0,0.87974684,1.0,1.0
0,0,0,0,INTL,,120,SFOF15,UA,2051,SFO,SFO,YVR,2023-04-04,10:40,2023-04-04,F15,1,,,0.0,0.0,,,0.0,0.0
284,1,326,1,INTL,2021-01-02,326,SFOG10,UA,58,SFO,SFO,FRA,2023-04-07,13:50,2023-04-07,G10,1,SFOG10,2021-01-02,0.87116564,1.0,1.0,0.87116564,1.0,1.0
233,1,253,1,INTL,2021-01-02,253,SFOG4,UA,926,SFO,SFO,FRA,2023-04-07,19:10,2023-04-07,G4,1,SFOG4,2021-01-02,0.92094862,1.0,1.0,0.92094862,1.0,1.0
0,0,0,0,INTL,,178,SFOE4,UA,1679,SFO,SFO,CUN,2023-04-06,08:45,2023-04-06,E4,1,,,0.0,0.0,,,0.0,0.0
64,1,350,1,INTL,2021-01-02,350,SFOG7,UA,871,SFO,SFO,TPE,2023-04-02,14:00,2023-04-02,G7,1,SFOG7,2021-01-02,0.18285714,1.0,1.0,0.18285714,1.0,1.0
116,1,124,1,INTL,2021-01-02,124,SFOG13,UA,901,SFO,SFO,LHR,2023-04-05,12:20,2023-04-05,G13,1,SFOG13,2021-01-02,0.93548387,1.0,1.0,0.93548387,1.0,1.0
0,0,0,0,INTL,,179,SFOE11,UA,1679,SFO,SFO,CUN,2023-04-02,08:45,2023-04-02,E11,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,157,SFOE5,UA,1542,SFO,SFO,YVR,2023-04-04,14:00,2023-04-04,E5,1,,,0.0,0.0,,,0.0,0.0
4,1,257,1,INTL,2021-01-02,257,SFOG1,UA,917,SFO,SFO,AKL,2023-04-06,23:00,2023-04-07,G1,1,SFOG1,2021-01-02,0.0155642,1.0,1.0,0.0155642,1.0,1.0
123,1,220,1,INTL,2021-01-02,220,SFOG9,UA,1,SFO,SFO,SIN,2023-04-03,22:45,2023-04-03,G9,1,SFOG9,2021-01-02,0.55909091,1.0,1.0,0.55909091,1.0,1.0
301,1,323,1,INTL,2021-01-02,323,SFOG5,UA,869,SFO,SFO,HKG,2023-04-05,12:45,2023-04-05,G5,1,SFOG5,2021-01-02,0.93188854,1.0,1.0,0.93188854,1.0,1.0
107,1,123,1,INTL,2021-01-02,123,SFOG6,UA,96,SFO,SFO,BNE,2023-04-05,23:55,2023-04-06,G6,1,SFOG6,2021-01-02,0.8699187,1.0,1.0,0.8699187,1.0,1.0
0,0,0,0,INTL,,67,SFOF9,UA,5546,SFO,SFO,YYC,2023-04-07,10:55,2023-04-07,F9,1,,,0.0,0.0,,,0.0,0.0
192,1,208,1,INTL,2021-01-02,208,SFOG2,UA,194,SFO,SFO,MUC,2023-04-02,13:25,2023-04-02,G2,1,SFOG2,2021-01-02,0.92307692,1.0,1.0,0.92307692,1.0,1.0
303,1,330,1,INTL,2021-01-02,330,SFOG12,UA,857,SFO,SFO,PVG,2023-04-08,12:55,2023-04-08,G12,1,SFOG12,2021-01-02,0.91818182,1.0,1.0,0.91818182,1.0,1.0
0,0,0,0,INTL,,75,SFOF5,UA,5546,SFO,SFO,YYC,2023-04-02,10:55,2023-04-02,F5,1,,,0.0,0.0,,,0.0,0.0
